case_id,case_name,district_code,depot_code,road_code,section_code,section_name,start_date,flood_level,the_geom
2.0221E+11,???????????????,??.??????,?????????????????,4025,100,??????? -  ????????,10/31/2022 0:25,30,POINT (98.3183251 7.986466)
2.0221E+11,?????????????,??.???????????? 1,??????????????????????? 2,122,102,??????????????????????????????????,10/19/2022 12:00,79 ??.,POINT (100.06072536041 15.6687345448915)
2.0221E+11,??????????,??.??????,???????????????????,311,300,??????? - ??????,10/18/2022 19:28,3,POINT (100.24131774367562 15.141665441239782)
2.0221E+11,???????,??.?????????,?????????????????????,311,202,??????????? - ??????? (??????????????),10/11/2022 13:00,0,POINT (100.32782962 15.00193126)
2.0221E+11,?????????????,??.???????????? 1,??????????????????????? 2,122,102,??????????????????????????????????,10/18/2022 20:30,80,POINT (100.06072536041 15.6687345448915)
2.02212E+11,?????????????,??.???????? 1,??????????????????,408,202,??????? - ??????,12/18/2022 15:30,15,POINT (100.548559 7.239886)
2.0221E+11,??????? ??.3454 ????????? 0301 ??? ???????-??????????? ??.49+875-51+000,??.???????,???????????????????,3454,301,??????? - ???????????,10/20/2022 9:00,5,POINT (100.400585063891 14.7532246178254)
2.02301E+11,???????????????,??.???????,??????????????????,418,100,????? - ????,1/8/2023 11:30,0,POINT (101.23532295227052 6.65857907036706)
2.0221E+11,????????????????.3195 ?????????0202 ??? ???????????-??????? ??.26+650,??.???????,???????????????????,3195,202,??????????? - ???????,10/21/2022 12:00,0,POINT (100.360643760409 14.5990980289816)
2.0221E+11,??????????????????,??.?????,?????????????????????,2086,100,?????????? - ????????,10/19/2022 8:00,5,POINT (103.896445718531 15.5269760459766)
2.0221E+11,??????????,??.????????????? 1,?????????????????????,321,300,?????? - ??????????,10/19/2022 9:30,19,POINT (100.012134549966 14.4534145391894)
2.0221E+11,???????????????,??.??????,?????????????????,3351,300,????????? - ???????,10/19/2022 11:40,0,POINT (100.117048944397 14.135930288728984)
2.0221E+11,??????????,??.??????,???????????????????,311,300,??????? - ??????,10/19/2022 8:19,3,POINT (100.2437210069502 15.138984186841064)
2.0221E+11,?????????????,??.???????????? 1,??????????????????????? 2,122,102,??????????????????????????????????,10/19/2022 9:00,79 ??.,POINT (100.06072536041 15.6687345448915)
2.0221E+11,??????????,??.??????,???????????????????,311,300,??????? - ??????,10/19/2022 11:12,3,POINT (100.24187865392014 15.141256042255938)
2.0221E+11,???????,??.???????????,?????????????????,2146,100,??????????? - ???????????????,10/21/2022 12:09,20-58,POINT (102.581279355472 16.8892095295073)
2.0221E+11,???????,??.???????????,?????????????????,2146,100,??????????? - ???????????????,10/19/2022 12:06,30-60,POINT (102.581279355472 16.8892095295073)
2.0221E+11,???????????????????,??.????????????? 1,??????????????????????,3558,100,???????????? - ??????,10/19/2022 9:46,11,POINT (100.130413342507 14.5001272760635)
2.02211E+11,??????????,??.??????,???????????????????,311,300,??????? - ??????,11/1/2022 13:30,3,POINT (100.24337768307763 15.13904632642616)
