sta,date,rain,flood_L
328,20221221,55.7,0
329,20221028,56.51,0
330,20221219,57.47,0
331,20221206,59.04,0
332,20230124,61.82,0
333,20221205,63.89,0
334,20221219,68.26,0
335,20221028,69.59,0
336,20221218,72.26,20
337,20221221,79.52,10
338,20221221,79.52,15
339,20221221,79.52,10
340,20221221,79.52,0
341,20221221,79.52,15
342,20221221,79.52,15
343,20221221,79.52,10
344,20221221,79.52,10
345,20221221,79.52,10
346,20221124,87.3,0
347,20221124,87.3,0
348,20221218,92.72,0
349,20221205,93.52,0
350,20221205,94.07,0
351,20221205,94.73,0
352,20221205,94.73,0
353,20221123,96.04,0
354,20221115,106.43,0
355,20221221,110.01,25
356,20221221,110.01,25
357,20221221,110.01,25
358,20221221,110.01,10
359,20221221,110.01,5
360,20221221,110.01,0
361,20221221,110.01,25
362,20221221,110.01,25
363,20221221,110.01,25
364,20221221,110.01,25
365,20221221,110.01,25
366,20221221,110.01,25
367,20221221,110.01,25
368,20221218,112.73,45
369,20221220,114.87,10
370,20221220,119.55,0
371,20221220,119.55,0
372,20221220,119.55,0
373,20230618,120.57,30
374,20230618,120.57,30
375,20230618,120.57,30
376,20230618,120.57,30
377,20221205,121.37,0
378,20221220,123.35,0
379,20221220,123.35,0
380,20221205,123.71,40
381,20221220,169.18,0
382,20221220,206.18,0
383,20221220,255.23,3
384,20221220,255.23,15
385,20221220,255.23,12
386,20221220,258.88,0
387,20221220,262.24,0
388,20221220,265.07,0
389,20221220,265.07,0
390,20221220,284.42,0
391,20221220,319.84,0
392,20221220,319.84,10
393,20221220,375.09,0
394,20221220,386.54,0
